"","S97","S98","S105","S106","S111","S112","S119","S120"
"ASV_1",156,209,52,116,34,58,79,105
"ASV_62",14,4,31,0,1,3,5,8
"ASV_27",1,5,27,21,11,3,11,3
"ASV_58",10,10,0,17,15,4,8,14
"ASV_17",10,2,111,30,11,64,13,8
"ASV_8",10,5,24,53,39,44,51,54
"ASV_12",0,19,97,127,74,21,49,40
"ASV_57",0,5,6,12,7,2,14,12
"ASV_3",21,38,31,62,111,53,126,38
"ASV_33",0,3,21,14,15,25,34,14
"ASV_53",0,3,19,7,27,4,23,11
"ASV_56",7,0,21,0,17,3,18,16
"ASV_20",0,6,24,34,51,40,14,4
"ASV_35",13,2,28,7,11,1,16,0
"ASV_7",0,45,137,70,31,10,12,1
"ASV_13",0,6,8,4,16,35,3,12
"ASV_43",29,10,13,4,8,1,15,17
"ASV_61",0,22,6,19,11,4,42,21
"ASV_78",0,2,25,7,1,7,0,1
"ASV_26",38,20,61,1,24,5,3,12
"ASV_28",0,16,2,15,0,10,9,22
"ASV_2",117,106,35,102,53,120,47,136
"ASV_10",18,0,8,0,10,0,53,0
