"","S171","S172","S179","S180","S181","S182","S189","S190"
"ASV_73",2,0,7,2,9,15,4,44
"ASV_44",14,8,31,4,14,0,7,15
"ASV_1",292,274,345,211,328,315,190,252
"ASV_8",3,3,1,11,5,0,7,0
"ASV_2",90,78,96,94,48,139,97,77
"ASV_30",8,24,17,45,18,14,24,35
"ASV_5",58,19,80,83,102,111,14,43
"ASV_4",65,74,35,71,66,70,53,61
"ASV_9",23,12,43,14,22,0,66,64
"ASV_16",22,19,16,34,46,43,50,45
"ASV_18",16,22,15,20,20,26,6,52
"ASV_11",75,46,34,58,46,77,4,45
"ASV_14",28,31,53,24,35,46,67,19
"ASV_39",4,15,13,46,30,0,20,24
"ASV_50",20,17,19,4,6,63,0,5
"ASV_49",8,12,5,12,10,0,16,9
"ASV_38",14,6,5,50,6,15,9,18
"ASV_21",35,35,32,0,24,0,33,5
"ASV_23",29,34,16,0,19,0,28,10
"ASV_64",6,4,1,0,12,0,15,1
"ASV_77",8,0,9,0,6,0,15,0
"ASV_10",17,18,14,0,23,0,34,2
"ASV_88",5,0,5,0,5,0,7,0
"ASV_6",24,18,26,35,31,0,101,46
