"","S99","S100","S107","S108","S109","S110","S117","S118"
"ASV_73",6,16,11,9,19,4,3,19
"ASV_44",23,17,15,13,12,7,0,2
"ASV_54",40,0,15,30,0,12,0,6
"ASV_1",278,233,362,206,272,336,160,196
"ASV_3",0,0,13,0,24,7,21,0
"ASV_2",164,166,88,134,157,96,63,122
"ASV_95",0,69,0,1,3,1,0,0
"ASV_30",16,32,15,0,10,12,11,40
"ASV_5",42,30,14,62,74,73,31,79
"ASV_4",107,52,62,58,50,56,33,30
"ASV_9",0,24,30,10,23,36,28,84
"ASV_29",26,0,9,26,12,22,5,13
"ASV_16",30,36,28,28,27,13,22,65
"ASV_18",25,5,28,0,24,23,38,42
"ASV_11",84,33,31,14,51,43,9,45
"ASV_14",0,16,14,38,20,10,33,12
"ASV_39",20,0,8,28,9,7,3,39
"ASV_70",0,0,0,28,0,13,6,29
"ASV_50",10,5,0,18,42,15,0,0
"ASV_49",15,0,16,20,0,18,13,31
"ASV_117",1,0,1,2,0,0,1,8
"ASV_38",28,4,8,99,11,0,1,14
"ASV_172",0,0,4,0,3,0,3,4
"ASV_87",2,1,0,0,4,3,1,0
"ASV_345",2,4,1,0,1,1,1,0
"ASV_121",20,11,5,0,6,9,4,0
"ASV_21",27,57,12,0,22,37,6,5
"ASV_23",16,37,7,0,15,36,21,8
"ASV_64",7,0,5,0,5,7,8,3
"ASV_10",12,37,27,0,16,29,11,10
"ASV_88",3,0,3,0,2,10,0,0
"ASV_6",51,99,21,0,44,37,23,39
"ASV_84",0,0,10,0,4,0,2,2
"ASV_156",7,1,4,0,0,4,2,1
