ASV_1	QAU21419.1	100.0	132	0	0	1	396	1	132	7.9e-76	281.2	QAU21419.1 ammonia monooxygenase alpha subunit, partial [uncultured Nitrospira sp.]	396	139	100.0
ASV_2	QAU21419.1	99.2	132	1	0	1	396	1	132	1.0e-75	280.8	QAU21419.1 ammonia monooxygenase alpha subunit, partial [uncultured Nitrospira sp.]	396	139	100.0
ASV_3	QAU21421.1	99.2	132	1	0	1	396	1	132	1.8e-59	226.9	QAU21421.1 ammonia monooxygenase alpha subunit, partial [uncultured Nitrospira sp.]	396	139	100.0
ASV_4	QAU21419.1	99.2	132	1	0	1	396	1	132	1.0e-75	280.8	QAU21419.1 ammonia monooxygenase alpha subunit, partial [uncultured Nitrospira sp.]	396	139	100.0
ASV_5	BDM66498.1	100.0	132	0	0	1	396	1	132	2.3e-75	279.6	BDM66498.1 particulate methane monooxygenase alpha subunit, partial [uncultured bacterium]	396	165	100.0
ASV_6	QAU21419.1	99.2	132	1	0	1	396	1	132	1.0e-75	280.8	QAU21419.1 ammonia monooxygenase alpha subunit, partial [uncultured Nitrospira sp.]	396	139	100.0
ASV_7	QAU21419.1	99.2	132	1	0	1	396	1	132	1.0e-75	280.8	QAU21419.1 ammonia monooxygenase alpha subunit, partial [uncultured Nitrospira sp.]	396	139	100.0
ASV_8	QQL94602.1	100.0	132	0	0	1	396	1	132	5.0e-70	261.9	QQL94602.1 ammonia monooxygenase subunit A, partial [uncultured bacterium]	396	132	100.0
ASV_9	QAU21419.1	100.0	132	0	0	1	396	1	132	7.9e-76	281.2	QAU21419.1 ammonia monooxygenase alpha subunit, partial [uncultured Nitrospira sp.]	396	139	100.0
ASV_10	ABW75465.1	98.5	132	2	0	1	396	7	138	1.5e-74	276.9	ABW75465.1 particulate methane monooxygenase subunit A, partial [uncultured Alphaproteobacteria bacterium]	396	177	100.0
ASV_11	QAU21419.1	99.2	132	1	0	1	396	1	132	1.0e-75	280.8	QAU21419.1 ammonia monooxygenase alpha subunit, partial [uncultured Nitrospira sp.]	396	139	100.0
ASV_12	QAU21421.1	99.2	131	1	0	1	393	1	131	5.2e-59	225.3	QAU21421.1 ammonia monooxygenase alpha subunit, partial [uncultured Nitrospira sp.]	396	139	99.2
ASV_13	CAH10437.1	100.0	131	0	0	4	396	1	131	6.7e-75	278.1	CAH10437.1 putative methane monooxygenase, alpha subunit, partial [uncultured methanotrophic bacterium]	396	145	99.2
ASV_14	CAI30578.1	100.0	132	0	0	1	396	1	132	3.0e-75	279.3	CAI30578.1 particulate methane monooxygenase alpha subunit, partial [uncultured bacterium]	396	165	100.0
ASV_15	QAU21422.1	99.2	132	1	0	1	396	1	132	1.4e-75	280.4	QAU21422.1 ammonia monooxygenase alpha subunit, partial [uncultured Nitrospira sp.]	396	139	100.0
ASV_16	BDM66498.1	100.0	132	0	0	1	396	1	132	2.3e-75	279.6	BDM66498.1 particulate methane monooxygenase alpha subunit, partial [uncultured bacterium]	396	165	100.0
ASV_17	BDM66498.1	100.0	132	0	0	1	396	1	132	2.3e-75	279.6	BDM66498.1 particulate methane monooxygenase alpha subunit, partial [uncultured bacterium]	396	165	100.0
ASV_18	CAI30578.1	100.0	132	0	0	1	396	1	132	3.0e-75	279.3	CAI30578.1 particulate methane monooxygenase alpha subunit, partial [uncultured bacterium]	396	165	100.0
ASV_19	QAU21419.1	99.2	132	1	0	1	396	1	132	1.0e-75	280.8	QAU21419.1 ammonia monooxygenase alpha subunit, partial [uncultured Nitrospira sp.]	396	139	100.0
ASV_20	QMS55272.1	100.0	132	0	0	1	396	1	132	2.3e-75	279.6	QMS55272.1 ammonia monooxygenase alpha subunit, partial [uncultured Nitrospira sp.]	396	139	100.0
ASV_21	QAU21419.1	99.2	132	1	0	1	396	1	132	1.0e-75	280.8	QAU21419.1 ammonia monooxygenase alpha subunit, partial [uncultured Nitrospira sp.]	396	139	100.0
ASV_23	BDM66498.1	100.0	132	0	0	1	396	1	132	2.3e-75	279.6	BDM66498.1 particulate methane monooxygenase alpha subunit, partial [uncultured bacterium]	396	165	100.0
ASV_24	QAU21419.1	99.2	132	1	0	1	396	1	132	1.0e-75	280.8	QAU21419.1 ammonia monooxygenase alpha subunit, partial [uncultured Nitrospira sp.]	396	139	100.0
ASV_25	BDM66498.1	100.0	132	0	0	1	396	1	132	2.3e-75	279.6	BDM66498.1 particulate methane monooxygenase alpha subunit, partial [uncultured bacterium]	396	165	100.0
ASV_26	BDM66498.1	100.0	132	0	0	1	396	1	132	2.3e-75	279.6	BDM66498.1 particulate methane monooxygenase alpha subunit, partial [uncultured bacterium]	396	165	100.0
ASV_27	AHH01444.1	98.5	132	2	0	1	396	7	138	1.8e-75	280.0	AHH01444.1 particulate methane monooxygenase subunit A, partial [uncultured ammonia-oxidizing bacterium]	396	177	100.0
ASV_28	BDM66498.1	100.0	132	0	0	1	396	1	132	2.3e-75	279.6	BDM66498.1 particulate methane monooxygenase alpha subunit, partial [uncultured bacterium]	396	165	100.0
ASV_29	QQL94602.1	100.0	132	0	0	1	396	1	132	5.0e-70	261.9	QQL94602.1 ammonia monooxygenase subunit A, partial [uncultured bacterium]	396	132	100.0
ASV_30	QMS55267.1	96.2	132	5	0	1	396	1	132	2.4e-72	269.6	QMS55267.1 ammonia monooxygenase alpha subunit, partial [uncultured Nitrospira sp.]	396	139	100.0
ASV_32	QAU21419.1	99.2	132	1	0	1	396	1	132	1.0e-75	280.8	QAU21419.1 ammonia monooxygenase alpha subunit, partial [uncultured Nitrospira sp.]	396	139	100.0
ASV_36	QMS55267.1	96.2	132	5	0	1	396	1	132	2.4e-72	269.6	QMS55267.1 ammonia monooxygenase alpha subunit, partial [uncultured Nitrospira sp.]	396	139	100.0
ASV_37	QMS55267.1	99.2	132	1	0	1	396	1	132	5.1e-75	278.5	QMS55267.1 ammonia monooxygenase alpha subunit, partial [uncultured Nitrospira sp.]	396	139	100.0
ASV_38	QAU21419.1	100.0	132	0	0	1	396	1	132	7.9e-76	281.2	QAU21419.1 ammonia monooxygenase alpha subunit, partial [uncultured Nitrospira sp.]	396	139	100.0
ASV_39	QMS55267.1	96.2	132	5	0	1	396	1	132	2.4e-72	269.6	QMS55267.1 ammonia monooxygenase alpha subunit, partial [uncultured Nitrospira sp.]	396	139	100.0
ASV_40	QMS55267.1	96.2	132	5	0	1	396	1	132	2.4e-72	269.6	QMS55267.1 ammonia monooxygenase alpha subunit, partial [uncultured Nitrospira sp.]	396	139	100.0
ASV_41	QAU21419.1	99.2	132	1	0	1	396	1	132	1.0e-75	280.8	QAU21419.1 ammonia monooxygenase alpha subunit, partial [uncultured Nitrospira sp.]	396	139	100.0
ASV_44	QAU21422.1	99.2	132	1	0	1	396	1	132	1.4e-75	280.4	QAU21422.1 ammonia monooxygenase alpha subunit, partial [uncultured Nitrospira sp.]	396	139	100.0
